Method,Patch,Runtime Improvement,Memory Improvement
org.evosuite.testcase.TestCodeVisitor.getClassName(Class<?>),"| gin.edit.statement.CopyStatement ""../evosuite/client/src/main/java/org/evosuite/testcase/TestCodeVisitor.java"":524 -> ""../evosuite/client/src/main/java/org/evosuite/testcase/TestCodeVisitor.java"":1080:1080 | gin.edit.statement.DeleteStatement ""../evosuite/client/src/main/java/org/evosuite/testcase/TestCodeVisitor.java"":1049 | gin.edit.statement.CopyStatement ""../evosuite/client/src/main/java/org/evosuite/testcase/TestCodeVisitor.java"":1664 -> ""../evosuite/client/src/main/java/org/evosuite/testcase/TestCodeVisitor.java"":1066:1066 | gin.edit.statement.ReplaceStatement ""../evosuite/client/src/main/java/org/evosuite/testcase/TestCodeVisitor.java"":2364 -> ""../evosuite/client/src/main/java/org/evosuite/testcase/TestCodeVisitor.java"":1050 |",0.78772515,-0.070478244
org.evosuite.testcase.TestCodeVisitor.getClassName(Class<?>),"| gin.edit.statement.DeleteStatement ""../evosuite/client/src/main/java/org/evosuite/testcase/TestCodeVisitor.java"":1006 | gin.edit.statement.DeleteStatement ""../evosuite/client/src/main/java/org/evosuite/testcase/TestCodeVisitor.java"":1006 |",0.6783007,-0.0091056323
org.evosuite.testcase.TestCodeVisitor.getClassName(Class<?>),"| gin.edit.statement.DeleteStatement ""../evosuite/client/src/main/java/org/evosuite/testcase/TestCodeVisitor.java"":1006 | gin.edit.statement.DeleteStatement ""../evosuite/client/src/main/java/org/evosuite/testcase/TestCodeVisitor.java"":954 | gin.edit.statement.DeleteStatement ""../evosuite/client/src/main/java/org/evosuite/testcase/TestCodeVisitor.java"":954 | gin.edit.statement.CopyStatement ""../evosuite/client/src/main/java/org/evosuite/testcase/TestCodeVisitor.java"":4880 -> ""../evosuite/client/src/main/java/org/evosuite/testcase/TestCodeVisitor.java"":953:1006 |",0.67543405,-0.066621246
org.evosuite.utils.MersenneTwister.nextGaussian(),"| gin.edit.statement.DeleteStatement ""../evosuite/client/src/main/java/org/evosuite/utils/MersenneTwister.java"":1734 |",0.6711666,-0.011044917
"org.evosuite.symbolic.expr.DistanceCalculator.visit(RealConstraint,Void)","| gin.edit.statement.ReplaceStatement ""../evosuite/client/src/main/java/org/evosuite/symbolic/expr/DistanceCalculator.java"":795 -> ""../evosuite/client/src/main/java/org/evosuite/symbolic/expr/DistanceCalculator.java"":737 | gin.edit.statement.CopyStatement ""../evosuite/client/src/main/java/org/evosuite/symbolic/expr/DistanceCalculator.java"":3707 -> ""../evosuite/client/src/main/java/org/evosuite/symbolic/expr/DistanceCalculator.java"":683:737 | gin.edit.statement.SwapStatement ""../evosuite/client/src/main/java/org/evosuite/symbolic/expr/DistanceCalculator.java"":737 <-> ""../evosuite/client/src/main/java/org/evosuite/symbolic/expr/DistanceCalculator.java"":684 |",0.6061955,-0.0081371313
"org.evosuite.instrumentation.testability.StringHelper.StringRegionMatches(String,boolean,int,String,int,int)","| gin.edit.statement.DeleteStatement ""../evosuite/client/src/main/java/org/evosuite/instrumentation/testability/StringHelper.java"":1420 | gin.edit.statement.DeleteStatement ""../evosuite/client/src/main/java/org/evosuite/instrumentation/testability/StringHelper.java"":1498 |",0.5828462,-0.028965943
"org.evosuite.instrumentation.testability.StringHelper.StringRegionMatches(String,boolean,int,String,int,int)","| gin.edit.statement.ReplaceStatement ""../evosuite/client/src/main/java/org/evosuite/instrumentation/testability/StringHelper.java"":1494 -> ""../evosuite/client/src/main/java/org/evosuite/instrumentation/testability/StringHelper.java"":1521 | gin.edit.statement.SwapStatement ""../evosuite/client/src/main/java/org/evosuite/instrumentation/testability/StringHelper.java"":1498 <-> ""../evosuite/client/src/main/java/org/evosuite/instrumentation/testability/StringHelper.java"":1521 | gin.edit.statement.SwapStatement ""../evosuite/client/src/main/java/org/evosuite/instrumentation/testability/StringHelper.java"":1514 <-> ""../evosuite/client/src/main/java/org/evosuite/instrumentation/testability/StringHelper.java"":1494 | gin.edit.statement.DeleteStatement ""../evosuite/client/src/main/java/org/evosuite/instrumentation/testability/StringHelper.java"":1494 |",0.57901745,-0.0073504466
org.evosuite.utils.MersenneTwister.nextGaussian(),"| gin.edit.statement.SwapStatement ""../evosuite/client/src/main/java/org/evosuite/utils/MersenneTwister.java"":1646 <-> ""../evosuite/client/src/main/java/org/evosuite/utils/MersenneTwister.java"":1643 | gin.edit.statement.CopyStatement ""../evosuite/client/src/main/java/org/evosuite/utils/MersenneTwister.java"":2280 -> ""../evosuite/client/src/main/java/org/evosuite/utils/MersenneTwister.java"":1646:1652 | gin.edit.statement.ReplaceStatement ""../evosuite/client/src/main/java/org/evosuite/utils/MersenneTwister.java"":2440 -> ""../evosuite/client/src/main/java/org/evosuite/utils/MersenneTwister.java"":1713 | gin.edit.statement.ReplaceStatement ""../evosuite/client/src/main/java/org/evosuite/utils/MersenneTwister.java"":2988 -> ""../evosuite/client/src/main/java/org/evosuite/utils/MersenneTwister.java"":1667 |",0.56890814,-0.010239558
org.evosuite.utils.MersenneTwister.nextGaussian(),"| gin.edit.statement.SwapStatement ""../evosuite/client/src/main/java/org/evosuite/utils/MersenneTwister.java"":1652 <-> ""../evosuite/client/src/main/java/org/evosuite/utils/MersenneTwister.java"":1643 | gin.edit.statement.CopyStatement ""../evosuite/client/src/main/java/org/evosuite/utils/MersenneTwister.java"":1547 -> ""../evosuite/client/src/main/java/org/evosuite/utils/MersenneTwister.java"":1668:1679 |",0.5583857,-0.021245072
org.evosuite.utils.MersenneTwister.nextGaussian(),"| gin.edit.statement.SwapStatement ""../evosuite/client/src/main/java/org/evosuite/utils/MersenneTwister.java"":1646 <-> ""../evosuite/client/src/main/java/org/evosuite/utils/MersenneTwister.java"":1642 | gin.edit.statement.DeleteStatement ""../evosuite/client/src/main/java/org/evosuite/utils/MersenneTwister.java"":1734 | gin.edit.statement.CopyStatement ""../evosuite/client/src/main/java/org/evosuite/utils/MersenneTwister.java"":766 -> ""../evosuite/client/src/main/java/org/evosuite/utils/MersenneTwister.java"":1642:1643 | gin.edit.statement.CopyStatement ""../evosuite/client/src/main/java/org/evosuite/utils/MersenneTwister.java"":886 -> ""../evosuite/client/src/main/java/org/evosuite/utils/MersenneTwister.java"":1668:1689 |",0.54123275,-0.009029961
